Time,Consumption
2002/01,15818
2002/02,14813
2002/03,16173
2002/04,15893
2002/05,17314
2002/06,17458
2002/07,18424
2002/08,17573
2002/09,16632
2002/10,17209
2002/11,16675
2002/12,16168
2003/01,16479
2003/02,15509
2003/03,17099
2003/04,16371
2003/05,17604
2003/06,17789
2003/07,18637
2003/08,18174
2003/09,16993
2003/10,17834
2003/11,17177
2003/12,16897
2004/01,17285
2004/02,16704
2004/03,17828
2004/04,16919
2004/05,18387
2004/06,18754
2004/07,19532
2004/08,18619
2004/09,17764
2004/10,18101
2004/11,17748
2004/12,17128
2005/01,17521
2005/02,16491
2005/03,17813
2005/04,17587
2005/05,18602
2005/06,18315
2005/07,18944
2005/08,18597
2005/09,17822
2005/10,18440
2005/11,17831
2005/12,17557
2006/01,17887
2006/02,16727
2006/03,18279
2006/04,17455
2006/05,19537
2006/06,19452
2006/07,19890
2006/08,19678
2006/09,18379
2006/10,18957
2006/11,18542
2006/12,18324
2007/01,18902
2007/02,17710
2007/03,19480
2007/04,18360
2007/05,20220
2007/06,20303
2007/07,21055
2007/08,20560
2007/09,18987
2007/10,19704
2007/11,19066
2007/12,18492
2008/01,18600
2008/02,17923
2008/03,18811
2008/04,18485
2008/05,19683
2008/06,19871
2008/07,20869
2008/08,19964
2008/09,19091
2008/10,19462
2008/11,18001
2008/12,16911
2009/01,17266
2009/02,16055
2009/03,17903
2009/04,17286
2009/05,18897
2009/06,19044
2009/07,20354
2009/08,19649
2009/09,18582
2009/10,19047
2009/11,18486
2009/12,18192
2010/01,18726
2010/02,17541
2010/03,19443
2010/04,18436
2010/05,19718
2010/06,20050
2010/07,20561
2010/08,19798
2010/09,18482
2010/10,19546
2010/11,18987
2010/12,18380
2011/01,18944
2011/02,17839
2011/03,19727
2011/04,18828
2011/05,20154
2011/06,20209
2011/07,20451
2011/08,19889
2011/09,18916
2011/10,19516
2011/11,18976
2011/12,18555
2012/01,18995
2012/02,18131
2012/03,18936
2012/04,17890
2012/05,19200
2012/06,19665
2012/07,20107
2012/08,19705
2012/09,18470
2012/10,18775
2012/11,18748
2012/12,17917
2013/01,18308
2013/02,16942
2013/03,18551
2013/04,18191
2013/05,19406
2013/06,19719
2013/07,20560
2013/08,20209
2013/09,18808
2013/10,19331
2013/11,18561
2013/12,18248
2014/01,18980
2014/02,17424
2014/03,18910
2014/04,18386
2014/05,19477
2014/06,19453
2014/07,20261
2014/08,19821
2014/09,18977
2014/10,19363
2014/11,18612
2014/12,18281
2015/01,18952
2015/02,17473
2015/03,19199
2015/04,18209
2015/05,19041
2015/06,19210
2015/07,19792
2015/08,18930
2015/09,18368
2015/10,18893
2015/11,18220
2015/12,18049
2016/01,18375
2016/02,17736
2016/03,18443
2016/04,18103
2016/05,19118
2016/06,18926
2016/07,19588
2016/08,19102
2016/09,18201
2016/10,18796
2016/11,18431
2016/12,18232
2017/01,18552
2017/02,17306
2017/03,19058
2017/04,18184
2017/05,19748
2017/06,19348
2017/07,19623
2017/08,19536
2017/09,18344
2017/10,19038
2017/11,18576
2017/12,18199
2018/01,18649
2018/02,17256
2018/03,18977
2018/04,18061
2018/05,19838
2018/06,19544
2018/07,20209
2018/08,19652
2018/09,18462
2018/10,19326
2018/11,18753
2018/12,18169
2019/01,18752
2019/02,17186
2019/03,18597
2019/04,18333
2019/05,19519
2019/06,19221
2019/07,19830
2019/08,18712
2019/09,18225
2019/10,19033
2019/11,18235
2019/12,17374
2020/01,18139
2020/02,17147
2020/03,17719
2020/04,14121
2020/05,16907
2020/06,18288
2020/07,19167
2020/08,18644
2020/09,17831
2020/10,18476
2020/11,17731
2020/12,17636
2021/01,17632
2021/02,16501
2021/03,18197
2021/04,17698
2021/05,19029
2021/06,18847
