"","x"
"1",15818
"2",14813
"3",16173
"4",15893
"5",17314
"6",17458
"7",18424
"8",17573
"9",16632
"10",17209
"11",16675
"12",16168
"13",16479
"14",15509
"15",17099
"16",16371
"17",17604
"18",17789
"19",18637
"20",18174
"21",16993
"22",17834
"23",17177
"24",16897
"25",17285
"26",16704
"27",17828
"28",16919
"29",18387
"30",18754
"31",19532
"32",18619
"33",17764
"34",18101
"35",17748
"36",17128
"37",17521
"38",16491
"39",17813
"40",17587
"41",18602
"42",18315
"43",18944
"44",18597
"45",17822
"46",18440
"47",17831
"48",17557
"49",17887
"50",16727
"51",18279
"52",17455
"53",19537
"54",19452
"55",19890
"56",19678
"57",18379
"58",18957
"59",18542
"60",18324
"61",18902
"62",17710
"63",19480
"64",18360
"65",20220
"66",20303
"67",21055
"68",20560
"69",18987
"70",19704
"71",19066
"72",18492
"73",18600
"74",17923
"75",18811
"76",18485
"77",19683
"78",19871
"79",20869
"80",19964
"81",19091
"82",19462
"83",18001
"84",16911
"85",17266
"86",16055
"87",17903
"88",17286
"89",18897
"90",19044
"91",20354
"92",19649
"93",18582
"94",19047
"95",18486
"96",18192
"97",18726
"98",17541
"99",19443
"100",18436
"101",19718
"102",20050
"103",20561
"104",19798
"105",18482
"106",19546
"107",18987
"108",18380
"109",18944
"110",17839
"111",19727
"112",18828
"113",20154
"114",20209
"115",20451
"116",19889
"117",18916
"118",19516
"119",18976
"120",18555
"121",18995
"122",18131
"123",18936
"124",17890
"125",19200
"126",19665
"127",20107
"128",19705
"129",18470
"130",18775
"131",18748
"132",17917
"133",18308
"134",16942
"135",18551
"136",18191
"137",19406
"138",19719
"139",20560
"140",20209
"141",18808
"142",19331
"143",18561
"144",18248
"145",18980
"146",17424
"147",18910
"148",18386
"149",19477
"150",19453
"151",20261
"152",19821
"153",18977
"154",19363
"155",18612
"156",18281
"157",18952
"158",17473
"159",19199
"160",18209
"161",19041
"162",19210
"163",19792
"164",18930
"165",18368
"166",18893
"167",18220
"168",18049
"169",18375
"170",17736
"171",18443
"172",18103
"173",19118
"174",18926
"175",19588
"176",19102
"177",18201
"178",18796
"179",18431
"180",18232
"181",18552
"182",17306
"183",19058
"184",18184
"185",19748
"186",19348
"187",19623
"188",19536
"189",18344
"190",19038
"191",18576
"192",18199
"193",18649
"194",17256
"195",18977
"196",18061
"197",19838
"198",19544
"199",20209
"200",19652
"201",18462
"202",19326
"203",18753
"204",18169
"205",18752
"206",17186
"207",18597
"208",18333
"209",19519
"210",19221
"211",19830
"212",18712
"213",18225
"214",19033
"215",18235
"216",17374
"217",18139
"218",17147
"219",17719
"220",14121
"221",16907
"222",18288
"223",19167
"224",18644
"225",17831
"226",18476
"227",17731
"228",17636
"229",17632
"230",16501
"231",18197
"232",17698
"233",19029
"234",18847
